"yearmonth","yearmonthnum","covered1","covered2","covered5","covered10"
"2009-10","22","1","1","1","0"
"2010-1","25","1","1","1","1"
"2010-9","33","1","1","1","1"
"2011-1","37","1","1","1","1"
"2011-2","38","1","0","0","0"
"2011-3","39","1","0","0","0"
"2011-4","40","1","1","0","0"
"2011-9","45","2","0","0","0"
"2011-10","46","1","1","1","0"
"2012-1","49","2","0","0","0"
"2012-3","51","2","1","0","0"
"2012-4","52","2","1","1","1"
"2012-5","53","2","0","0","0"
"2012-7","55","1","0","0","0"
"2012-9","57","1","1","1","1"
"2012-10","58","3","3","0","0"
"2012-11","59","4","0","0","0"
"2012-12","60","4","3","3","1"
"2013-1","61","1","0","0","0"
"2013-2","62","1","0","0","0"
"2013-4","64","1","0","0","0"
"2013-5","65","4","1","0","0"
"2013-7","67","2","2","1","0"
"2013-9","69","1","1","1","1"
"2013-10","70","2","1","0","0"
"2013-11","71","2","2","0","0"
"2013-12","72","1","1","0","0"
"2014-3","75","1","0","0","0"
"2014-4","76","3","2","0","0"
"2014-5","77","1","1","0","0"
"2014-6","78","3","1","1","0"
"2014-9","81","1","1","1","0"
"2014-10","82","1","0","0","0"
"2014-11","83","3","1","0","0"
"2015-1","85","1","1","0","0"
"2015-2","86","1","1","1","0"
"2015-3","87","1","1","1","0"
"2015-6","90","2","0","0","0"
"2015-7","91","1","1","0","0"
"2015-8","92","2","0","0","0"
"2015-9","93","1","1","1","1"
"2015-10","94","1","1","0","0"
"2015-11","95","1","1","1","1"
"2015-12","96","3","0","0","0"
"2016-3","99","3","2","2","1"
"2016-5","101","4","0","0","0"
"2016-6","102","2","1","0","0"
"2016-7","103","1","0","0","0"
"2016-8","104","1","0","0","0"
"2016-12","108","1","0","0","0"
"2017-1","109","1","0","0","0"
"2017-3","111","2","0","0","0"
"2017-5","113","2","1","1","0"
"2017-6","114","3","3","3","1"
"2017-7","115","3","3","2","2"
"2017-8","116","2","0","0","0"
"2017-9","117","1","1","0","0"
"2017-10","118","2","1","0","0"
"2017-11","119","1","1","0","0"
